id,age,dist,income,gender,marital_status,target
222,68,12.26216674,"30-39,999",M,M,0
223,71,7.085968389,"90-99,999",F,M,0
224,81,11.37366055,"90-99,999",M,M,0
225,69,3.677472503,"10-19,999",F,S,0
226,65,13.40047784,"50-59,999",F,S,0
227,67,20.76335857,"90-99,999",F,S,0
228,91,11.53717267,"40-49,999",F,S,0
229,87,15.01477605,"20-29,999",M,M,0
230,94,1.100258408,"50-59,999",F,S,0
231,70,6.606453428,"10-19,999",M,S,0
232,66,28.47768668,250k+,M,M,0
233,82,10.06816589,"90-99,999",F,M,1
234,86,8.020273905,"10-19,999",M,S,1
235,82,1.50602936,"40-49,999",F,M,1
236,82,3.861397208,"30-39,999",M,M,1
237,87,7.3440448,"50-59,999",M,S,1
238,84,2.493950885,"30-39,999",M,M,1
239,89,23.59675896,Under $10k,F,M,1
240,71,8.691577952,"90-99,999",M,M,1
241,73,16.05732584,,M,,1
242,85,7.284539071,Under $10k,M,M,1
243,91,6.108255735,"10-19,999",F,M,1
244,90,4.392698646,"30-39,999",F,M,1
245,76,11.88606148,"10-19,999",F,M,1
246,87,26.01049554,"50-59,999",F,M,1
247,85,0.990380978,"50-59,999",M,M,1
248,78,5.146288807,"50-59,999",F,S,1
249,73,1.566712593,"100-149,999",F,M,0
250,66,24.27275171,"10-19,999",F,S,0
251,71,4.82583372,"50-59,999",M,M,0
252,74,23.57935352,"40-49,999",F,M,0
253,89,3.330470075,Under $10k,M,S,0
254,84,3.368995487,"20-29,999",F,S,0
255,66,1.172829729,"90-99,999",F,M,0
256,81,17.18255181,"40-49,999",M,M,0
257,69,1.62950474,"30-39,999",F,M,0
258,86,10.624893,"40-49,999",M,M,0
259,79,3.952038246,"70-79,999",F,S,0
260,85,5.823950938,"10-19,999",F,S,0
261,85,0.898939588,"20-29,999",F,M,0
262,72,4.584242874,"100-149,999",M,M,0
263,86,10.49811011,"90-99,999",F,M,0
264,67,3.728246761,"90-99,999",M,M,0
265,90,5.539452922,Under $10k,M,M,0
266,72,22.1156998,"90-99,999",F,M,0
